,name,album,artist,danceability,iframe,length,popularity,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,release_date
0,Bless the Telephone,The Singer & The Song,Labi Siffre,0.567,,100746,52,0.978,0.175,2.14E-05,0.103,-17.466,0.0483,135.521,4,1971
1,"Hallelujah, I Love Her So","Ray Charles (aka: Hallelujah, I Love Her So)",Ray Charles,0.696,,155506,64,0.792,0.547,0,0.155,-5.954,0.169,73.203,4,1/1/1957
2,May You Always,True 50's love,Various Artists,0.378,,175733,0,0.822,0.229,0,0.181,-11.03,0.0289,80.694,4,1/1/2008
3,You And Me,Penny & the Quarters EP,Penny & The Quarters,0.562,,160813,57,0.945,0.178,6.66E-06,0.121,-7.811,0.0343,109.589,4,3/4/2011
4,Is This Love - Montmartre Remix,Is This Love (Montmartre Remix),Bob Marley & The Wailers,0.626,,269403,61,0.0897,0.604,0,0.122,-7.23,0.142,122.943,4,9/23/2014
5,Animal Spirits,The Beautiful Game,Vulfpeck,0.751,,190801,58,0.156,0.713,9.59E-05,0.0508,-7.333,0.0544,100.856,4,10/17/2016
6,I'm a Believer - 2006 Remaster,More of The Monkees (Deluxe Edition),The Monkees,0.526,,167373,74,0.707,0.775,2.05E-05,0.217,-6.05,0.0352,80.106,4,1/9/1967
7,Wasting Time,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,0.302,,224360,0,0.208,0.698,0.00494,0.123,-5.702,0.0482,78.411,4,1/1/2015
8,Wake Up,Funeral,Arcade Fire,0.252,,335333,66,0.12,0.8,0.0538,0.118,-4.845,0.0368,139.361,4,6/16/2004
9,Reflektor,Reflektor,Arcade Fire,0.589,,453949,6,0.0445,0.72,0.0142,0.364,-8.33,0.0309,111.602,4,1/1/2013
10,Get Lucky (feat. Pharrell Williams & Nile Rodgers),Random Access Memories,Daft Punk,0.81,,369626,76,0.0378,0.793,1.82E-06,0.072,-9.404,0.0403,116.049,4,5/17/2013
11,My Girls,Merriweather Post Pavilion,Animal Collective,0.508,,340786,55,0.256,0.953,0.0445,0.929,-6.031,0.0806,119.973,4,1/20/2009
12,How Loud Your Heart Gets,Wildewoman (Deluxe Edition),Lucius,0.398,,343480,0,0.132,0.657,0.001,0.169,-6.758,0.038,140.054,4,10/14/2014
13,Animal,Miike Snow (Deluxe Edition),Miike Snow,0.772,,263426,41,0.0096,0.721,5.85E-06,0.0869,-6.651,0.0777,118.021,4,2009
14,There Will Be Time,Johannesburg,Mumford & Sons,0.481,,267946,0,0.0137,0.703,0,0.0879,-8.344,0.0466,149.951,4,6/17/2016
